Symbol,Sector,Name
STT,Financials,State Street Corporation
STE,Health Care,Steris
SYK,Health Care,Stryker Corporation
SIVB,Financials,SVB Financial
SYF,Financials,Synchrony Financial
SNPS,Information Technology,Synopsys
SYY,Consumer Staples,Sysco
TMUS,Communication Services,T-Mobile US
TROW,Financials,T. Rowe Price
TTWO,Communication Services,Take-Two Interactive
TPR,Consumer Discretionary,Tapestry
TGT,Consumer Discretionary,Target
TEL,Information Technology,TE Connectivity
TDY,Industrials,Teledyne Technologies
TFX,Health Care,Teleflex
TER,Information Technology,Teradyne
TSLA,Consumer Discretionary,Tesla
TXN,Information Technology,Texas Instruments
TXT,Industrials,Textron
TMO,Health Care,Thermo Fisher Scientific
TJX,Consumer Discretionary,TJX Companies
TSCO,Consumer Discretionary,Tractor Supply Company
TT,Industrials,Trane Technologies
TDG,Industrials,TransDigm Group
TRV,Financials,The Travelers Companies
TRMB,Information Technology,Trimble
TFC,Financials,Truist Financial
TWTR,Communication Services,Twitter
TYL,Information Technology,Tyler Technologies
TSN,Consumer Staples,Tyson Foods
UDR,Real Estate,UDR
ULTA,Consumer Discretionary,Ulta Beauty
USB,Financials,U.S. Bancorp
UAA,Consumer Discretionary,Under Armour (Class A)
UA,Consumer Discretionary,Under Armour (Class C)
UNP,Industrials,Union Pacific
UAL,Industrials,United Airlines
UNH,Health Care,UnitedHealth Group
UPS,Industrials,United Parcel Service
URI,Industrials,United Rentals
UHS,Health Care,Universal Health Services
VLO,Energy,Valero Energy
VTR,Real Estate,Ventas
VRSN,Information Technology,Verisign
VRSK,Industrials,Verisk Analytics
VZ,Communication Services,Verizon Communications
VRTX,Health Care,Vertex Pharmaceuticals
VFC,Consumer Discretionary,VF Corporation
VIAC,Communication Services,ViacomCBS
VTRS,Health Care,Viatris
V,Information Technology,Visa
VNO,Real Estate,Vornado Realty Trust
VMC,Materials,Vulcan Materials
WRB,Financials,W. R. Berkley Corporation
WAB,Industrials,Wabtec
WMT,Consumer Staples,Walmart
WBA,Consumer Staples,Walgreens Boots Alliance
DIS,Communication Services,The Walt Disney Company
WM,Industrials,Waste Management
WAT,Health Care,Waters Corporation
WEC,Utilities,WEC Energy Group
WFC,Financials,Wells Fargo
WELL,Real Estate,Welltower
WST,Health Care,West Pharmaceutical Services
WDC,Information Technology,Western Digital
WRK,Materials,WestRock
WY,Real Estate,Weyerhaeuser
WHR,Consumer Discretionary,Whirlpool Corporation
WMB,Energy,Williams Companies
WTW,Financials,Willis Towers Watson
WYNN,Consumer Discretionary,Wynn Resorts
XEL,Utilities,Xcel Energy
XLNX,Information Technology,Xilinx
XYL,Industrials,Xylem
YUM,Consumer Discretionary,Yum! Brands
ZBRA,Information Technology,Zebra Technologies
ZBH,Health Care,Zimmer Biomet
ZION,Financials,Zions Bancorp
ZTS,Health Care,Zoetis
